GENERATION_DISTRIBUTION
Note!!! Please add ' at the beginning of generator ID as a special indicator of text type.
Unit Name,Unit ID, Type, Element Name, Ratio
Front Range CC1b,'ST,BUS,78515,0.4325144
Front Range CC1b,'G2,BUS,78518,0.5674856
GatesSolarStation1,'2,BUS,34613,0.5
GatesSolarStation1,'1,BUS,34613,0.5
Gateway CC1a,'1,BUS,33118,0.6786885
Gateway CC1a,'1,BUS,33120,0.3213115
Gateway CC1b,'1,BUS,33119,0.6666667
Gateway CC1b,'1,BUS,33120,0.3333333
GCC CC1a,'1,BUS,20606,0.7044812
GCC CC1a,'3,BUS,20608,0.2955188
GCC CC1b,'2,BUS,20607,0.7044812
GCC CC1b,'3,BUS,20608,0.2955188
Gemini BESS,'S1,BUS,181084,0.341053
Gemini BESS,'X0,BUS,86247,0.658947
Gene Intake Pump-Total,'2,BUS,25413,0.055556
Gene Intake Pump-Total,'1,BUS,25413,0.055556
Gene Intake Pump-Total,'3,BUS,25413,0.055556
Gene Intake Pump-Total,'4,BUS,25413,0.055556
Gene Intake Pump-Total,'9,BUS,25414,0.055556
Gene Intake Pump-Total,'6,BUS,25414,0.055556
Gene Intake Pump-Total,'8,BUS,25414,0.055556
Gene Intake Pump-Total,'5,BUS,25414,0.055556
Gene Intake Pump-Total,'7,BUS,25414,0.055556
Gene Intake Pump-Total,'1,BUS,25415,0.055556
Gene Intake Pump-Total,'2,BUS,25415,0.055556
Gene Intake Pump-Total,'4,BUS,25415,0.055556
Gene Intake Pump-Total,'3,BUS,25415,0.055556
Gene Intake Pump-Total,'6,BUS,25416,0.055556
Gene Intake Pump-Total,'8,BUS,25416,0.055556
Gene Intake Pump-Total,'7,BUS,25416,0.055556
Gene Intake Pump-Total,'5,BUS,25416,0.055556
Gene Intake Pump-Total,'9,BUS,25416,0.055556
Gila Bend,'1,BUS,85773,0.5
Gila Bend,'1,BUS,85774,0.5
Gila Bend BESS,'X0,BUS,85773,0.5
Gila Bend BESS,'X0,BUS,85774,0.5
Gila River CC1a,'1,BUS,159971,0.5652848
